from,coord,to,coord,distance_in_miles
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.20989021167225883
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",The Disney Gallery,"(33.8101946, -117.9184302)",0.21023778028511375
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.360383591421
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.09647854067707064
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.2014745028405
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.13714664975390858
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.07645286460458113
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2174.1287301682178
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.10054055676812507
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.055490626987851566
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.3355551673535
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Splash Mountain,"(28.4192429, -81.58504252640626)",2174.0833505238925
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.050007138205269475
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.022295898155262135
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.07503519002749826
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.04419440225529502
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.2366227113176567
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.23060227643540532
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.22196402444702124
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Minnie's House,"(33.81558355, -117.91901094992576)",0.2563848929073965
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.2751582656879944
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.18119924968613582
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",It's a Small World,"(33.8153316, -117.91738182498915)",0.29883393426215565
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.15312501540356746
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Pixie Hollow,"(33.812503, -117.9182845)",0.16176558083498066
Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.12657626335657118
