id,name,travel_time,travel_distance,wait_time,duration,latitude,longitude
0,Entrance,0,0,0,0,33.809479,-117.918985
47,Space Mountain,4.48,0.22,25.0,5.0,33.81106224205584,-117.91748099933893
47,Space Mountain,3.46,0.17,25.0,5.0,33.81106224205584,-117.91748099933893
47,Space Mountain,2.39,0.12,37.5,5.0,33.81106224205584,-117.91748099933893
47,Space Mountain,2.46,0.12,37.5,5.0,33.81106224205584,-117.91748099933893
34,Snow White's Enchanted Wish,3.2,0.16,20,2.0,33.81331938668568,-117.91919575281298
34,Snow White's Enchanted Wish,5.39,0.27,20,2.0,33.81331938668568,-117.91919575281298
34,Snow White's Enchanted Wish,2.94,0.15,20,2.0,33.81331938668568,-117.91919575281298
47,Space Mountain,4.44,0.22,50,5.0,33.81106224205584,-117.91748099933893
34,Snow White's Enchanted Wish,5.62,0.28,25.0,2.0,33.81331938668568,-117.91919575281298
34,Snow White's Enchanted Wish,4.89,0.24,25.0,2.0,33.81331938668568,-117.91919575281298
26,Minnie's House,5.31,0.27,0.0,5.0,33.81581699384838,-117.91885423702801
34,Snow White's Enchanted Wish,10.68,0.53,25.0,2.0,33.81331938668568,-117.91919575281298
26,Minnie's House,7.09,0.35,0.0,5.0,33.81581699384838,-117.91885423702801
47,Space Mountain,9.23,0.46,50,5.0,33.81106224205584,-117.91748099933893
0,Entrance,4.48,0.22,0,0,33.809479,-117.918985
